topic0,zins,anleih,kredit,rendit,niedrig,spar,papi,laufzeit,anleg,darleh,staatsanleih,schuld,fallig,zin,investor,gunstig,zehnjahr,bond,langfrist,kondition,hoch,liegt,zinssatz,kapitalmarkt,volum,kurzfrist,finanzier,bundesanleih,angebot,risiko,betrag,rat,wert,biet,gering,verzins,kauf,anlag,sech,kapital,finanzi,je,lieg,vergleich,steig,verschuld,sollt,betragt,pfandbrief,entsprech,zahlt,prozentpunkt,wertpapi,ruckzahl,aktuell,attraktiv,summ,tilgung,acht,null,sieb,bietet,expert,begeb,verzin,erhoht,alternativ,bund,sparbuch,zuruckzahl,bonitat,nachfrag,effektiv,schuldn,garantiert,finanziert,angelegt,bekomm,bedeutet,steigt,durchschnitt,dah,bring,funfjahr,knapp,emission,ertrag,tagesgeld,einlag,kreditnehm,gelt,immobili,aufnehm,vorzeit,leih,beispiel,steigend,fest,seri,unternehmensanleih
topic58,wachstum,konjunktur,aufschwung,institut,erwartet,prognos,entwickl,rezession,bruttoinlandsprodukt,erwart,schwach,ifo,quartal,wirtschaftswachstum,okonom,investition,wirtschaftsforsch,kommend,erhol,steig,arbeitslos,expert,rechn,rechnet,volkswirtschaft,niedrig,weltwirtschaft,konsum,export,arbeitsmarkt,steigend,wachs,nachfrag,bip,kraftig,ruckgang,positiv,anstieg,konjunkturell,verbrauch,privat,optimist,diw,wach,trotz,folg,leicht,einschatz,laufend,stimmung,wachstumsrat,beleb,langsam,wirtschaftsleist,anhalt,gestieg,volkswirt,real,sink,gering,niveau,zunehm,prognostiziert,indikator,aussicht,gesamtwirtschaft,dynam,sinkend,dritt,gerechnet,schlecht,zuversicht,voraus,anzeich,prozentpunkt,boom,spurbar,gewachs,unt,erreicht,moderat,lohn,wachstumsprognos,bleib,impuls,viert,abschwung,gunstig,zuletzt,konjunkturprogramm,lieg,einkomm,verbessert,optimismus,negativ,stagnation,industri,abschwach,beschaft,uberrasch
 ,0.034,0.018,0.015,0.014,0.013,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic59,betrieb,beruf,ausbild,bewerb,handwerk,such,chanc,find,qualifiziert,oft,mangel,leut,personal,angebot,jugend,fehl,job,erfahr,fachkraft,ausgebildet,lehrstell,schwierig,ingenieur,einstell,schlecht,genug,haufig,ausbildungsplatz,schaff,qualifikation,off,fehlt,sucht,gesucht,bedarf,auszubild,tatig,probl,geeignet,brauch,arbeitgeb,bleib,gerad,sollt,problem,bekomm,zukunft,luck,schwer,attraktiv,biet,lehrling,kamm,notig,dah,weiterbild,fehlend,beispiel,beginn,nachwuch,selbstand,ausreich,hoch,trotz,eingestellt,mangelnd,dringend,besetz,fachkraftemangel,anforder,besetzt,gefragt,tun,leist,arbeitskraft,situation,abschluss,fest,aufgab,statt,dien,gleich,platz,fuhr,liegt,meint,vermittelt,freie,bietet,sorg,programm,findet,ihk,abgeschloss,generation,fachleut,thema,verfug,leicht,nehm
 ,0.024,0.023,0.021,0.016,0.015,0.011,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic60,niederland,teilt,belgi,van,belgisch,amsterdam,donnerstag,holland,sech,mitteilt,afp,brussel,wild,hiess,insgesamt,ap,ausserd,haag,zunach,kommend,zufolg,nachd,laut,foto,gemacht,zwolf,elf,entsprech,erwartet,juni,zusamm,innerhalb,kundigt,genannt,gegeb,gebracht,gefuhrt,grossbritanni,bleib,schritt,guld,angekundigt,stellt,hai,mai,prinzip,mindest,begrundet,beteiligt,neun,besteh,demnach,fag,zahlreich,juli,sprach,erneut,verantwort,druck,bestatigt,gestellt,folg,mitt,ansicht,sowohl,sollt,heutig,darunt,zustand,weiterhin,verfug,ging,geword,reagiert,flamisch,gesamt,begonn,kok,auss,ledig,vorerst,marz,de,genomm,zusammenhang,rechn,befind,vollstand,verschied,setzt,dezemb,zieht,gegenub,geschloss,bezeichnet,rotterdam,nv,bislang,ubernomm,bring
 ,0.085,0.03,0.029,0.026,0.023,0.017,0.015,0.013,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic61,entfuhr,entfuhrt,rebell,geiseln,kampf,afp,kolumbi,ap,rot,philippin,freilass,kreuz,grupp,farc,gewalt,verschleppt,kolumbian,botschaft,guerilla,berichtet,arme,national,geisel,bewaffnet,gefang,verhandl,freigelass,organisation,teilt,uberfall,donnerstag,manila,gebracht,vermittl,offenbar,sech,indian,befreit,geiselnahm,behord,hauptstadt,mitglied,kontakt,fujimori,urib,geiselnehm,festgehalt,losegeld,befreiung,zufolg,stadt,aktion,erpress,fried,mann,zunach,vertret,mitteilt,angehor,forder,lima,fordert,journalist,streitkraft,hand,getotet,nah,amt,revolutionar,zuvor,paramilitar,genomm,bogota,nachd,peruan,unterdess,fuhr,anfuhr,hiess,wollt,komite,waff,san,guerilleros,darunt,vermisst,santos,beweg,samstag,militar,ikrk,verlangt,mindest,soldat,hundert,erneut,schicksal,auswart,befind,bestatigt
 ,0.021,0.016,0.015,0.014,0.013,0.012,0.011,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic62,krankheit,test,gesund,gefahr,forsch,medizin,forschung,wissenschaftl,menschlich,aid,wissenschaft,patent,gen,leb,labor,untersuch,verbot,expert,virus,korp,erreg,krank,kunstlich,mittel,risiko,erkrank,infiziert,stammzell,leid,substanz,suu,stoff,erkrankt,zell,method,who,eingesetzt,schutz,schwer,genet,kyi,birma,blut,prob,klon,embryon,myanmar,medikament,experiment,weltweit,ubertrag,san,untersucht,ethisch,versuch,therapi,behord,institut,hiv,entwickelt,biolog,sterb,gift,zulass,erkenntnis,risik,gesundheit,folg,patentamt,behandelt,betroff,erlaubt,chemisch,behandl,verwendet,infektion,wiss,weltgesundheitsorganisation,gentechn,epidemi,wirkung,aung,embryonal,getestet,impfstoff,wahrschein,bestimmt,entdeckt,nutz,erfind,bislang,todlich,einsatz,universitat,erstmal,verfahr,ausbreit,patient,national,gehirn
 ,0.013,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic63,microsoft,appl,softwar,comput,gerat,sap,pc,herstell,ibm,smartphon,intel,it,konz,weltweit,produkt,programm,iphon,windows,dollar,dell,digital,samsung,technologi,system,kund,handy,entwickl,rechn,oracl,hp,handys,elektron,betriebssyst,internet,packard,anwend,hewlett,verkauft,gat,branch,konkurrent,technik,sony,entwickelt,firm,bildschirm,tablet,stev,version,mobil,firma,sun,computerherstell,syst,verkauf,job,nutz,konkurrenz,anbiet,amd,compaq,konzern,ipad,schnell,marktanteil,mobiltelefon,chips,standard,spiel,android,googl,technisch,chip,hardwar,softwarekonz,nokia,rival,serv,bereich,pcs,cloud,bill,betriebssystem,prozessor,unterhaltungselektron,blackberry,walldorf,kodak,vorgestellt,funktion,softwareherstell,offic,lauf,modell,manag,ballm,wettbewerb,informationstechn,telefon,softwarehaus
 ,0.028,0.027,0.025,0.024,0.021,0.012,0.012,0.012,0.011,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic64,mai,juni,april,marz,juli,teilt,mitt,sech,februar,donnerstag,erstmal,zuvor,insgesamt,erneut,sieb,nachd,januar,angekundigt,mitteilt,hiess,acht,zufolg,veroffentlicht,kundigt,laut,zwolf,beschloss,legt,finnland,gegeb,knapp,finnisch,bestatigt,erwartet,kommend,beginn,neun,beendet,ebenfall,uberrasch,septemb,zuletzt,danach,zunach,entsprech,endgult,bislang,fruhjahr,demnach,begrundet,elf,vorlauf,stand,setzt,ausserd,bisher,daraufhin,helsinki,gemeldet,gekomm,geleg,finn,weiterhin,ap,mitteil,aufgenomm,erhielt,vorig,nahm,darunt,eingestellt,erreicht,mitgeteilt,begonn,ursprung,abgeschloss,fuhrt,meldet,endet,offiziell,gegang,nannt,jeweil,angenomm,geeinigt,mindest,vorerst,dritt,bekanntgegeb,ledig,reagiert,gestellt,wochenchron,gleichzeit,innerhalb,spatest,folgt,sowohl,seitd,entschied
 ,0.099,0.086,0.082,0.078,0.071,0.028,0.02,0.019,0.017,0.017,0.017,0.017,0.014,0.013,0.012,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
topic65,insolvenz,pleit,glaubig,finanziell,insolvenzverwalt,schuld,sanier,firma,angeschlag,konkur,investor,insolvent,rett,rettung,gesellschaft,firm,forder,gerat,beschaftigt,vorlauf,mitarbeit,insolvenzverfahr,zahlungsunfah,anmeld,schwierig,angemeldet,betrieb,beantragt,geschaftsfuhr,grupp,droht,ubernomm,betroff,rechnung,teilt,knapp,amtsgericht,insgesamt,bankrott,babcock,drohend,ehemal,gegang,gesichert,uberleb,burgschaft,gestellt,glaubigerbank,insolvenzantrag,verbind,antrag,chanc,sani,gerettet,inzwisch,eroffnet,verlor,zuletzt,meldet,verwalt,arbeitsplatz,gescheitert,verschuldet,zahlung,zusammenbruch,eroffn,begleich,rosenthal,schieflag,schuldn,stellt,uberschuldet,hoffnung,zukunft,fortfuhr,sanierungskonzept,zunach,zerschlag,eigentum,creditreform,bedroht,glaubigerschutz,gefund,abwickl,treuhand,management,marod,gehort,interessent,sanierungsplan,verfahr,konkursverwalt,frisch,halft,bilanz,beteiligt,gegrundet,vorerst,off,aussteh
 ,0.025,0.024,0.016,0.012,0.012,0.012,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic66,osterreich,npd,ungarn,rechtsextrem,fpo,ungar,ovp,haid,rechtsextremist,budap,verbot,rechtsradikal,spo,verfassungsschutz,freiheit,partei,neonazis,szen,schilling,schussel,orbán,leut,bundeskanzl,neonazi,beobacht,grupp,innenminist,fremdenfeind,rechtsextremismus,vorsitz,ca,volkspartei,grass,pegida,rassist,laut,rechtspopulist,klima,sozialdemokrat,salzburg,austria,gefahr,scientology,mitglied,skinhead,auslanderfeind,si,kanzl,volksverhetz,fidesz,ausland,gewalttat,geword,karnt,dvu,national,tirol,extremist,landeshauptmann,person,parol,demokrat,bawag,verbotsverfahr,bezeichnet,straftat,beweg,beobachtet,organisation,funktionar,link,hintergrund,motiviert,linz,woll,nah,gemacht,bundesprasident,ta,off,gusenbau,aktiv,karntn,demokrati,offenbar,klestil,nannt,verfassungsfeind,republ,gegeb,verbotsantrag,zuletzt,auss,rieg,vranitzky,versuch,hetz,dennoch,genannt,rand
 ,0.048,0.024,0.021,0.016,0.015,0.013,0.013,0.012,0.012,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic67,franzos,frankreich,paris,sarkozy,chirac,le,holland,sozialist,de,jacqu,national,françois,macron,premierminist,pen,jospin,front,franc,la,staatsprasident,link,afp,mitterrand,juppé,premi,mond,nationalversamml,villepin,dominiqu,republ,ump,sarkozys,philipp,marseill,emmanuel,fn,fillon,vall,saint,francs,royal,minist,strauss,konservativ,palast,staatschef,marin,europas,chiracs,gaull,elysé,vorig,figaro,bl,ps,lyon,claud,raffarin,élysé,gaullist,rpr,strassburg,freund,laurent,lyonnais,bordeaux,korsika,elf,prasidentschaftswahl,rechtsextrem,burg,innenminist,burgermeist,breton,cgt,ségolèn,en,mai,staatlich,thierry,wirtschaftsminist,udf,giscard,vorstadt,prasidentschaft,crédit,hingeg,balladur,dien,gegenub,klas,zugleich,selb,funft,tapi,nah,blask,nizza,francois,yves
 ,0.15,0.118,0.105,0.025,0.02,0.019,0.017,0.014,0.012,0.011,0.011,0.011,0.009,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic68,ezb,notenbank,zentralbank,bundesbank,wahrung,geldpolit,zins,fed,inflation,wahrungsunion,frankfurt,finanzmarkt,niedrig,bank,draghi,rat,leitzins,zon,zinssenk,trichet,greenspan,zinserhoh,leitzin,kur,inflationsrat,reserv,stabil,schwach,konjunktur,preis,notenbankchef,duisenberg,gefahr,okonom,staatsanleih,bernank,sitzung,donnerstag,einfuhr,wahrungshut,geldmeng,stabilitat,weidmann,bundesbankprasident,tietmey,chefvolkswirt,eurozon,sorg,wechselkurs,druck,erhoh,volkswirt,wechselkur,wert,billig,kurzfrist,schritt,unabhang,lock,aufwert,maastricht,wachstum,federal,risik,massnahm,finanzminist,steigend,devisenmarkt,deflation,weltek,unverandert,kauf,preisstabilitat,claud,volkswirtschaft,null,abwert,raum,euroraum,europas,zentralbankrat,senk,vertrau,ewu,zuletzt,erhoht,prozentpunkt,gesenkt,histor,zinsschritt,locker,anheb,national,signal,erwart,yell,euroland,zinspolit,finanz,teuer
 ,0.046,0.036,0.035,0.027,0.021,0.017,0.016,0.016,0.015,0.014,0.012,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic69,pol,polnisch,prag,tschechisch,warschau,tschechi,osteuropa,bulgari,ungarn,slowakei,beitritt,litau,kommunist,ministerprasident,slowak,estland,bulgar,republ,lettland,erweiter,kaczynski,vertrieb,eu,vertreib,tusk,havel,ost,staatsprasident,tschech,rumani,sudetendeutsch,pis,mitglied,vaclav,lech,aufnahm,baltisch,mind,ehemal,ods,solidaritat,nato,zeman,nachbarn,kwasniewski,premi,union,walesa,gefuhrt,aussenminist,erklar,nacut,lstrok,ski,sozialdemokrat,bratislava,meciar,ebenso,regierungschef,dekret,mittel,lettisch,sloweni,postkommunist,westeuropa,riga,mitgliedschaft,damal,scaron,westlich,wend,fuhr,roma,kaczy,gehort,gerecht,konservativ,gegenub,national,po,mitteleuropa,fuhrt,tschechoslowakei,osteuropas,bezieh,baltikum,burg,zentrum,sld,danzig,vorsitz,ostlich,estnisch,sejm,gemeinsam,beweg,donald,aleksand,grenz,ebenfall
 ,0.068,0.035,0.025,0.023,0.023,0.019,0.018,0.011,0.01,0.01,0.008,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic70,britisch,london,grossbritanni,brit,pfund,blair,labour,england,brexit,cameron,irisch,premierminist,nordirland,konservativ,sinn,premi,irland,fein,of,may,konigreich,insel,protestant,dublin,englisch,austritt,gordon,tim,belfast,vereinigt,bbc,tori,the,party,schottland,thatch,city,royal,clark,lord,schottisch,sir,premierministerin,nordir,penc,unterhaus,referendum,plc,kathol,johnson,konigin,guardian,unionist,margaret,queen,telegraph,osborn,scotland,georg,verbleib,british,daily,schott,trimbl,schatzkanzl,umgerechnet,partei,iren,fuhr,europas,street,mitglied,friedensprozess,unabhang,downing,and,bislang,republikan,miliband,national,financial,tory,liberaldemokrat,oxford,corbyn,king,nachd,westmin,minist,ulst,straw,spenc,zukunft,lsb,hagu,mai,hart,kelly,regierungschef,davis
 ,0.122,0.101,0.054,0.028,0.026,0.026,0.015,0.014,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic71,dat,information,behord,polizei,burg,datenschutz,person,schutz,uberwach,bka,straftat,kriminalitat,gefahr,hack,kriminell,organisiert,elektron,comput,kontroll,angriff,zugriff,bekampf,sogenannt,verdacht,gespeichert,bundeskriminalamt,privat,gestohl,betroff,expert,innenminist,mail,syst,inn,datei,technisch,erfasst,zugang,attack,diebstahl,zentral,datenbank,nam,kampf,rechn,einsatz,fingerabdruck,adress,registriert,lauschangriff,sensibl,erfass,europol,nutz,durchsuch,sicherheitsbehord,tat,geschutzt,bundesinnenminist,schwer,verbrech,cyb,spur,uberwacht,einzeln,list,illegal,method,telefon,beispiel,vorratsdatenspeicher,system,konkret,speich,heimlich,bundespolizei,dieb,it,programm,wiss,privatsphar,ausweis,genutzt,zweck,terrorismus,eingesetzt,schad,auswert,anti,verfolg,rechtsstaat,beamt,hinweis,oft,erheb,missbrauch,austausch,zustand,massnahm,uberpruf
 ,0.041,0.013,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic72,spiel,fussball,sport,wm,adidas,olymp,verein,fc,team,fan,puma,bay,dortmund,weltmeisterschaft,mannschaft,klub,sieg,train,stadion,bundesliga,olympia,ball,tor,fifa,sponsor,saison,platz,liga,dfb,formel,spielt,gewonn,sportlich,rang,champion,sportl,hain,leagu,renn,final,weltmeist,best,hoeness,erfolg,low,lotto,tour,glucksspiel,arena,borussia,sportartikelherstell,salomon,wett,kick,ioc,lauf,doping,nationalmannschaft,club,herzogenaurach,ski,turni,schalk,erfolgreich,trikot,gewann,reebok,elf,fussballspiel,zuschau,zeitz,manch,blatt,foto,stadi,gewinnt,em,beckenbau,vertrag,athlet,profi,titel,europameisterschaft,sponsoring,winterspiel,tennis,real,uli,verband,schiedsricht,veranstalt,wettkampf,gespielt,dritt,parti,numm,fitness,statt,nie,paar
 ,0.049,0.032,0.019,0.014,0.014,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
topic73,nordkorea,sudkorea,seoul,raket,pjongjang,sudkorean,nord,washington,nordkorean,atomwaff,korean,sud,nordkoreas,test,lee,sudkoreas,nuklear,militar,waff,park,korea,atomar,bedroh,gesprach,atomt,bomb,il,atombomb,abrust,regim,expert,kommunist,afp,roh,diktator,manov,start,strateg,aussenministerium,halbinsel,versuch,krieg,china,nachrichtenagentur,reichweit,ii,raketenabwehr,offiziell,vertrag,atomprogramm,bezieh,gefahr,ap,ziel,kilomet,won,abschreck,russland,liefer,samsung,verzicht,provokation,schritt,grenz,dialog,seit,sech,sprengkopf,atommacht,spannung,un,plutonium,kalt,beobacht,fuhr,drohung,bau,hyundai,diplomat,treff,atomanlag,konventionell,besitz,tokio,raketent,arsenal,japan,wiederaufnahm,nuklearwaff,verbundet,fuhrung,gemeinsam,erklar,verfugt,getestet,genf,chung,entwickl,moon,atom
